neighbourhood_cleansed,price
Bridgeport,69.0
Beverly,99.0
West Town,224.0
Lower West Side,131.0
Near North Side,275.0
Edgewater,93.0
West Town,65.0
West Town,65.0
West Town,65.0
North Center,128.0
Rogers Park,485.0
West Town,150.0
West Town,145.0
West Town,139.0
West Town,152.0
West Town,148.0
West Town,190.0
West Town,148.0
West Town,145.0
Lake View,1136.0
Englewood,42.0
Loop,234.0
Near West Side,74.0
Logan Square,74.0
West Town,500.0
West Town,85.0
Lake View,251.0
Humboldt Park,500.0
West Ridge,91.0
West Town,199.0
North Lawndale,285.0
Austin,49.0
Lincoln Park,360.0
Lincoln Park,169.0
Lake View,58.0
Near West Side,136.0
Austin,49.0
Rogers Park,105.0
Austin,39.0
Armour Square,298.0
Humboldt Park,139.0
Bridgeport,109.0
West Town,80.0
Woodlawn,111.0
Avondale,93.0
Edgewater,201.0
Austin,50.0
West Town,122.0
Near West Side,60.0
Brighton Park,89.0
West Town,211.0
Uptown,85.0
West Ridge,179.0
West Town,115.0
Irving Park,41.0
South Shore,55.0
Lake View,97.0
Lake View,695.0
Logan Square,105.0
Near West Side,85.0
Edgewater,179.0
Lake View,122.0
Grand Boulevard,200.0
West Garfield Park,161.0
North Center,135.0
Austin,60.0
Near North Side,120.0
North Center,59.0
Humboldt Park,115.0
Greater Grand Crossing,363.0
Lake View,220.0
Avondale,121.0
South Lawndale,129.0
West Town,145.0
Austin,49.0
Albany Park,174.0
Avondale,111.0
Near West Side,314.0
Near West Side,90.0
Near North Side,73.0
Rogers Park,65.0
Logan Square,242.0
Edgewater,147.0
North Lawndale,120.0
Lower West Side,98.0
Near West Side,184.0
Near North Side,699.0
Loop,350.0
Logan Square,120.0
Rogers Park,112.0
Rogers Park,235.0
Irving Park,31.0
Uptown,75.0
Edgewater,127.0
Uptown,78.0
Near West Side,413.0
Logan Square,135.0
Lincoln Park,857.0
Woodlawn,130.0
Hegewisch,85.0
Near North Side,278.0
Lake View,111.0
Lake View,150.0
West Town,590.0
Armour Square,59.0
Douglas,123.0
Near West Side,325.0
Near West Side,858.0
Lower West Side,91.0
Lake View,363.0
Logan Square,55.0
Logan Square,1356.0
East Garfield Park,70.0
South Lawndale,79.0
Douglas,93.0
Loop,175.0
Logan Square,121.0
Bridgeport,119.0
Rogers Park,162.0
Armour Square,314.0
West Town,195.0
Albany Park,56.0
Garfield Ridge,109.0
Armour Square,223.0
Near South Side,223.0
Lower West Side,106.0
Lower West Side,103.0
South Shore,30.0
Armour Square,297.0
Armour Square,280.0
Pullman,250.0
Montclare,135.0
Near West Side,60.0
Near West Side,302.0
North Center,150.0
Lincoln Park,116.0
Lincoln Park,2599.0
Armour Square,300.0
Armour Square,300.0
Armour Square,300.0
Lake View,275.0
Edgewater,79.0
Irving Park,105.0
Lower West Side,73.0
Humboldt Park,55.0
Near West Side,85.0
South Shore,25.0
Lake View,115.0
Chatham,111.0
Rogers Park,100.0
Grand Boulevard,200.0
Near North Side,120.0
Near West Side,350.0
Avondale,105.0
Logan Square,129.0
Logan Square,134.0
Lincoln Square,175.0
North Center,254.0
Lincoln Park,120.0
Near West Side,100.0
Avondale,59.0
South Shore,36.0
New City,35.0
Mckinley Park,2000.0
West Town,170.0
Ohare,250.0
New City,31.0
Norwood Park,43.0
Edgewater,132.0
West Town,332.0
Kenwood,150.0
Near North Side,224.0
Irving Park,159.0
West Town,140.0
Hyde Park,250.0
Greater Grand Crossing,200.0
Bridgeport,79.0
West Town,69.0
Humboldt Park,129.0
Portage Park,58.0
Near North Side,145.0
Near West Side,199.0
North Park,272.0
Edgewater,193.0
Lower West Side,99.0
Logan Square,52.0
Woodlawn,50.0
Near West Side,89.0
Pullman,99.0
Douglas,110.0
Woodlawn,89.0
Woodlawn,57.0
North Center,95.0
West Town,2249.0
West Town,198.0
Armour Square,297.0
Armour Square,297.0
Near North Side,453.0
Lake View,102.0
West Town,911.0
Near North Side,95.0
West Town,67.0
Edgewater,101.0
Norwood Park,41.0
Rogers Park,269.0
Logan Square,183.0
West Town,4500.0
Austin,250.0
East Garfield Park,102.0
West Town,154.0
Near North Side,500.0
Humboldt Park,183.0
West Town,307.0
Austin,51.0
Logan Square,236.0
Near North Side,366.0
Near West Side,166.0
Beverly,158.0
South Shore,235.0
Englewood,25.0
Lake View,269.0
North Center,159.0
West Town,1625.0
Lake View,512.0
Albany Park,110.0
Grand Boulevard,299.0
Mckinley Park,93.0
Lower West Side,99.0
Avondale,95.0
Grand Boulevard,195.0
Lincoln Square,104.0
New City,34.0
Norwood Park,61.0
Uptown,133.0
Lake View,102.0
Rogers Park,103.0
Near North Side,180.0
Rogers Park,80.0
Portage Park,95.0
Logan Square,154.0
Near North Side,128.0
